J7,lambda_K2,E0,r3,switched
-0.45,0.03,18.0,0.9803004206308412,0
-0.55,0.01,18.0,0.9888741709405063,0
-0.4,0.05,20.0,0.9691751945997981,0
-0.5,0.06,35.0,0.9858485000182073,0
-0.45,0.05,18.0,0.9802662088988056,0
-0.7,0.05,1.0,0.9940285431404466,0
-0.7,0.05,2.0,0.9940060959770259,0
-0.7,0.05,3.0,0.9940121952689269,0
-0.7,0.05,4.0,0.9940053889854714,0
-0.4,0.03,30.0,0.9693076380421338,0
-0.7,0.05,5.0,0.9939995158977445,0
-0.7,0.05,6.0,0.9939986163748109,0
-0.7,0.05,8.0,0.9939963541939857,0
-0.7,0.05,7.0,0.9939976219697413,0
-0.7,0.05,12.0,0.9939934696772388,0
-0.7,0.05,10.0,0.9939953698926114,0
-0.7,0.05,16.0,0.9939917243779555,0
-0.5,0.01,20.0,0.9854795845642835,0
-0.55,0.03,40.0,0.9890172639543291,0
-0.4,0.03,22.0,0.9692686417207986,0
-0.45,0.02,25.0,0.9803383785096941,0
-0.5,0.02,22.0,0.9857708001233237,0
-0.45,0.02,20.0,0.9802909589574808,0
-0.7,0.06,1.0,0.9940189648838025,0
-0.7,0.06,2.0,0.9940064426264855,0
-0.7,0.06,3.0,0.9940039490148544,0
-0.7,0.06,4.0,0.9939953325420201,0
-0.7,0.06,5.0,0.9939935614561219,0
-0.7,0.06,6.0,0.9939918984075156,0
-0.7,0.06,7.0,0.9939902594309858,0
-0.7,0.06,8.0,0.9939894945373842,0
-0.7,0.06,10.0,0.9939870712311636,0
-0.7,0.06,12.0,0.9939858610643387,0
-0.5,0.08,30.0,0.9857761549744848,0
-0.55,0.06,22.0,0.98902014619214,0
-0.7,0.06,16.0,0.9939841526951523,0
-0.45,0.01,35.0,0.0029603291203797455,1
-0.4,0.08,22.0,0.9690880806540789,0
-0.5,0.01,18.0,0.9856155690259258,0
-0.55,0.06,40.0,0.9890547918233172,0
-0.55,0.06,20.0,0.9890159868098098,0
-0.7,0.08,1.0,0.994007687832532,0
-0.7,0.08,2.0,0.99400286327257,0
-0.7,0.08,3.0,0.9939910036092584,0
-0.7,0.08,4.0,0.9939876282213359,0
-0.7,0.08,5.0,0.9939839806365738,0
-0.7,0.08,6.0,0.9939817359424745,0
-0.7,0.08,7.0,0.9939794956177588,0
-0.7,0.08,8.0,0.9939775459353477,0
-0.7,0.08,10.0,0.9939751416825214,0
-0.7,0.08,12.0,0.9939734704532528,0
-0.7,0.08,16.0,0.9939710124382182,0
-0.5,0.02,18.0,0.9857419462010044,0
-0.55,0.02,25.0,0.9889757985691806,0
-0.5,0.05,25.0,0.9858225091907193,0
-0.45,0.03,22.0,0.9803238698467662,0
-0.45,0.03,20.0,0.9803063643217236,0
-0.4,0.01,35.0,0.0005527740680518865,1
-0.5,0.08,40.0,0.9858062703438971,0
-0.55,0.04,25.0,0.9890149391450426,0
-0.55,0.02,40.0,0.9888976772887458,0
-0.55,0.06,18.0,0.9890121086795193,0
-0.4,0.02,30.0,0.0028265013400143963,1
-0.55,0.04,35.0,0.9890330780629586,0
-0.55,0.03,25.0,0.9889999234741709,0
-0.45,0.02,18.0,0.9802745505211997,0
-0.5,0.05,30.0,0.9858451695579395,0
-0.45,0.08,20.0,0.980180215103521,0
-0.4,0.05,30.0,0.9692114001449278,0
-0.4,0.08,20.0,0.9690884306772797,0
-0.45,0.08,35.0,0.9802211652496826,0
-0.45,0.06,20.0,0.9802470025412668,0
-0.5,0.06,40.0,0.9858668224440555,0
-0.45,0.08,25.0,0.9801943512114086,0
-0.45,0.01,22.0,0.0034402577986153535,1
