J7,lambda_K2,E0,r3,switched
-0.41,0.045,28.0,0.9722811985690651,0
-0.41,0.03,10.0,0.9722288866716287,0
-0.42,0.025,14.0,0.9747575872516198,0
-0.42,0.025,12.0,0.9747585003366108,0
-0.42,0.025,16.0,0.9747747191534841,0
-0.42,0.025,18.0,0.974801129001896,0
-0.42,0.025,20.0,0.9748137273572669,0
-0.42,0.025,22.0,0.9748172128167994,0
-0.41,0.035,26.0,0.972312111789889,0
-0.42,0.025,28.0,0.9748563261261584,0
-0.42,0.025,24.0,0.9748262259839534,0
-0.42,0.025,26.0,0.9748425762350019,0
-0.42,0.025,34.0,0.5008429818067409,0
-0.42,0.025,30.0,0.9746748290693931,0
-0.42,0.025,38.0,0.9746703559437435,0
-0.41,0.04,18.0,0.9722557393128626,0
-0.4,0.045,32.0,0.9692458606581463,0
-0.42,0.03,12.0,0.9747387181029504,0
-0.42,0.03,14.0,0.9747613331464816,0
-0.4,0.005,36.0,2.8167416341071984e-16,1
-0.42,0.03,16.0,0.9747846164358107,0
-0.42,0.03,18.0,0.9747906468029004,0
-0.42,0.03,20.0,0.9747987294662028,0
-0.42,0.03,22.0,0.9748163152655922,0
-0.42,0.03,24.0,0.9748302932763969,0
-0.42,0.03,26.0,0.9748367039371582,0
-0.42,0.03,30.0,0.9748565895594502,0
-0.42,0.03,28.0,0.9748443069422553,0
-0.42,0.03,34.0,0.9748747501739795,0
-0.41,0.02,10.0,0.9722082998931408,0
-0.42,0.03,38.0,0.9750416778269452,0
-0.4,0.025,32.0,0.003810572461368452,1
-0.41,0.005,36.0,1.8633259914693973e-16,1
-0.42,0.035,12.0,0.9747377266787327,0
-0.42,0.035,14.0,0.97476082188021,0
-0.42,0.035,16.0,0.9747663341807649,0
-0.41,0.025,12.0,0.9722505055037614,0
-0.41,0.005,30.0,2.494489330874489e-16,1
-0.42,0.035,18.0,0.9747791381827078,0
-0.42,0.035,20.0,0.974797453232432,0
-0.42,0.035,24.0,0.9748135634261716,0
-0.41,0.03,40.0,0.0975754237085122,1
-0.42,0.035,22.0,0.9748063247148929,0
-0.42,0.035,26.0,0.9748264766614919,0
-0.42,0.035,30.0,0.9748452464573806,0
-0.42,0.035,28.0,0.9748381425088632,0
-0.42,0.035,34.0,0.9748633501577355,0
-0.42,0.035,38.0,0.9746685868043486,0
-0.41,0.01,10.0,0.9722418033305232,0
-0.42,0.04,12.0,0.9747340871553338,0
-0.41,0.035,34.0,0.972348146240854,0
-0.42,0.04,14.0,0.9747411660038022,0
-0.42,0.04,16.0,0.9747544846760979,0
-0.42,0.04,18.0,0.9747719908528136,0
-0.42,0.04,20.0,0.9747792619623756,0
-0.42,0.04,22.0,0.9747893148921899,0
-0.42,0.04,24.0,0.9748030634633859,0
-0.42,0.04,26.0,0.9748115762022235,0
-0.42,0.04,28.0,0.9748192598671358,0
-0.4,0.005,14.0,0.9691284337910339,0
-0.42,0.04,34.0,0.974846001702309,0
-0.42,0.04,30.0,0.9748299352361113,0
-0.4,0.025,40.0,0.002826424407898969,1
-0.42,0.04,38.0,0.9748626452107274,0
-0.41,0.005,26.0,1.7187139343614949e-16,1
-0.42,0.045,12.0,0.9747162867873033,0
-0.42,0.045,14.0,0.9747262976346269,0
-0.42,0.045,16.0,0.9747439968984802,0
-0.42,0.045,18.0,0.9747513345273365,0
-0.42,0.045,20.0,0.9747622158182649,0
-0.42,0.045,22.0,0.9747750219347017,0
-0.4,0.015,40.0,0.0032910717035853007,1
-0.42,0.045,26.0,0.974791820451677,0
-0.42,0.045,24.0,0.9747823413231069,0
-0.42,0.045,28.0,0.9748023453997472,0
-0.42,0.045,30.0,0.9748097142869403,0
-0.42,0.045,34.0,0.9748265514443331,0
-0.41,0.015,32.0,0.001319039891227791,1
-0.42,0.045,38.0,0.9748407767129948,0
-0.4,0.03,10.0,0.9691928250093005,0
-0.4,0.02,32.0,0.0032911848321355154,1
-0.41,0.045,32.0,0.9722958479085837,0
-0.41,0.03,22.0,0.9723057319696699,0
-0.41,0.01,32.0,0.0007774273437172529,1
-0.4,0.045,36.0,0.9692603709297163,0
-0.41,0.005,28.0,2.597948053609726e-16,1
-0.4,0.005,38.0,2.889324404438346e-16,1
-0.41,0.015,38.0,0.0020113229191414984,1
-0.41,0.015,34.0,0.001319098638386883,1
-0.41,0.01,18.0,0.0033443446364706995,1
-0.4,0.005,28.0,9.33431326532925e-17,1
-0.41,0.045,36.0,0.9723112358551024,0
-0.41,0.035,22.0,0.9722920131494474,0
-0.41,0.02,22.0,0.15562306804212017,1
-0.41,0.015,18.0,0.047496023584216986,1
-0.41,0.02,36.0,0.003328860842913788,1
-0.41,0.02,12.0,0.9722509031079858,0
-0.41,0.01,14.0,0.005870589861599074,1
-0.4,0.01,40.0,0.0003751622981400451,1
-0.41,0.035,18.0,0.9722661784314894,0
