coupling,theta_deg,e0,r3,switched
j7on,52.5,24.0,7.577072499465753e-17,1
j7on,45.0,38.0,1.0,0
j7on,67.5,16.0,1.0,0
j7on,37.5,30.0,1.0,0
j7on,60.0,12.0,0.9692696006981927,0
j7on,52.5,38.0,1.249142896975797e-16,1
j7on,52.5,18.0,0.10585644774942439,1
j7on,60.0,8.0,0.9692253966371634,0
j7on,60.0,6.0,0.9692003888869946,0
j7on,45.0,14.0,0.9692845191443155,0
j7on,45.0,26.0,0.022583452245050126,1
j7on,60.0,18.0,1.0,0
j7on,60.0,20.0,1.0,0
j7on,37.5,14.0,0.969297023937263,0
j7on,60.0,10.0,0.9692773238352419,0
j7on,52.5,30.0,8.830164926163311e-16,1
j7on,60.0,24.0,0.0019866764986482656,1
j7on,60.0,4.0,0.9691172997494852,0
j7on,67.5,8.0,0.969301110356959,0
j7on,52.5,10.0,0.9692642403154095,0
j7on,52.5,20.0,1.3615033935889843e-16,1
j7on,67.5,20.0,1.0,0
j7on,67.5,34.0,1.0,0
j7on,60.0,22.0,0.005850162558396515,1
j7on,60.0,38.0,0.00012445418887607008,1
j7on,60.0,34.0,1.0,0
j7on,67.5,28.0,1.0,0
j7on,60.0,30.0,0.005850687702805364,1
j7on,52.5,28.0,4.8309894955724057e-17,1
j7on,67.5,14.0,1.0,0
j7on,60.0,16.0,7.073392594678919e-15,1
j7on,75.0,6.0,0.009708707233981116,1
j7on,67.5,24.0,0.4723567751686586,0
j7on,52.5,34.0,3.3281046792531086e-17,1
j7on,75.0,14.0,0.009708916247791285,1
j7on,60.0,26.0,0.0007659951759130074,1
j7on,67.5,12.0,2.0072509019110644e-14,1
j7on,67.5,10.0,0.9692496081662091,0
j7on,67.5,4.0,0.9691162760745915,0
j7on,67.5,18.0,0.012569838053413634,1
j7on,75.0,8.0,0.009709096613416048,1
j7on,67.5,6.0,0.7725781510381167,0
j7on,67.5,30.0,1.0,0
j7on,75.0,22.0,1.0,0
j7on,75.0,38.0,1.0,0
j7on,75.0,24.0,0.0005313079491433003,1
j7on,75.0,18.0,0.004905466672625604,1
j7on,67.5,22.0,0.128031794009516,1
j7on,67.5,26.0,0.012444703234145184,1
j7on,67.5,38.0,0.0596178496948669,1
j7on,75.0,10.0,0.009709193010291146,1
j7on,75.0,16.0,0.001831268346178769,1
j7on,75.0,12.0,0.00970910597594533,1
j7on,75.0,26.0,0.0031282480743485726,1
j7on,82.5,10.0,0.005102902267479895,1
j7on,82.5,6.0,0.009708725525416559,1
j7on,75.0,4.0,0.9691137450938888,0
j7on,82.5,18.0,3.3279600532383178e-06,1
j7on,82.5,16.0,0.0031501945748121196,1
j7on,82.5,8.0,0.009708620221361125,1
j7on,75.0,28.0,1.0,0
j7on,75.0,20.0,0.011087602165393666,1
j7on,75.0,30.0,1.0,0
j7on,82.5,12.0,0.005102841494273425,1
j7on,75.0,34.0,1.0,0
j7on,82.5,20.0,0.00046436422058606394,1
j7on,82.5,14.0,0.005102792771521684,1
j7on,82.5,4.0,0.00970808296941933,1
j7on,82.5,22.0,1.0,0
j7on,82.5,26.0,1.0,0
j7on,82.5,38.0,1.0,0
j7on,82.5,28.0,1.0,0
j7on,90.0,4.0,0.005102218485971912,1
j7on,82.5,24.0,1.0,0
j7on,82.5,34.0,1.0,0
j7on,90.0,10.0,0.005102805066776481,1
j7on,82.5,30.0,1.0,0
j7on,90.0,18.0,0.005102846514551567,1
j7on,90.0,16.0,0.005102796155361756,1
j7on,90.0,14.0,0.005102773064215904,1
j7on,90.0,30.0,1.0,0
j7on,90.0,6.0,0.005102488814147589,1
j7on,90.0,28.0,1.0,0
j7on,90.0,38.0,1.0,0
j7on,90.0,26.0,1.0,0
j7on,90.0,8.0,0.0051026734422633235,1
j7on,90.0,12.0,0.005102809391444618,1
j7on,90.0,22.0,0.000764810908415236,1
j7on,90.0,20.0,1.0,0
j7on,90.0,34.0,1.0,0
j7on,90.0,24.0,2.448157417569194e-06,1
